MainDrug,NDC,Strength,Formulation,Inactive
glycerin,44911-0359,12 [hp_X]  in 1 mL,"um, phytolacca decandra, taraxacum officinale, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), salicylicum acidum, adrenocorticotrophin, cortisone aceticum, eugenol, stearyl alcohol, xylitol, folliculinum, benzoicum acidum, chlorinum, potassium sorbate, sorbitol, resorcinum, benzyl alcohol, lacticum acidum, isopropyl palmitate, boricum acidum, aceticum acidum, liquid",WATER
glycerin,44911-0359,12 [hp_X]  in 1 mL,"um, phytolacca decandra, taraxacum officinale, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), salicylicum acidum, adrenocorticotrophin, cortisone aceticum, eugenol, stearyl alcohol, xylitol, folliculinum, benzoicum acidum, chlorinum, potassium sorbate, sorbitol, resorcinum, benzyl alcohol, lacticum acidum, isopropyl palmitate, boricum acidum, aceticum acidum, liquid",ALCOHOL
glycerin,44911-0556,3 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",CORTICOTROPIN
glycerin,44911-0556,3 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",TARAXACUM OFFICINALE
glycerin,44911-0556,3 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",PHYTOLACCA AMERICANA ROOT
glycerin,44911-0556,6 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",ARSENIC TRIOXIDE
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",NITRIC ACID
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",STRYCHNOS NUX-VOMICA SEED
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",KEROSENE
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",PHOSPHORIC ACID
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",PHOSPHORUS
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",ASPIRIN
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",NITROGLYCERIN
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",INSULIN HUMAN
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",LITHIUM CARBONATE
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid","THYROID, PORCINE"
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",ACETIC ACID
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",BENZOIC ACID
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",BENZYL ALCOHOL
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",BORIC ACID
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",CHLORINE
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",CORTISONE ACETATE
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",EUGENOL
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",ESTRONE
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",ISOPROPYL PALMITATE
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid","LACTIC ACID, DL-"
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",POTASSIUM SORBATE
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",PETROLATUM
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",PHENYLBUTAZONE
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",LEAD
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",RESORCINOL
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",SALICYLIC ACID
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",STEARYL ALCOHOL
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",SORBITOL
glycerin,44911-0556,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",XYLITOL
glycerin,44911-0556,15 [hp_C]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",WATER
glycerin,44911-0556,15 [hp_C]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (human), lithium carbonicum, thyroidinum (suis), aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum,  petroleum jelly, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",ALCOHOL
glycerin,44911-0528,3 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",CORTICOTROPIN
glycerin,44911-0528,3 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",TARAXACUM OFFICINALE
glycerin,44911-0528,3 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",PHYTOLACCA AMERICANA ROOT
glycerin,44911-0528,6 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",ARSENIC TRIOXIDE
glycerin,44911-0528,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",NITRIC ACID
glycerin,44911-0528,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",STRYCHNOS NUX-VOMICA SEED
glycerin,44911-0528,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",KEROSENE
glycerin,44911-0528,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",PHOSPHORIC ACID
glycerin,44911-0528,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",PHOSPHORUS
glycerin,44911-0528,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",ASPIRIN
glycerin,44911-0528,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",NITROGLYCERIN
glycerin,44911-0528,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",INSULIN PORK
glycerin,44911-0528,12 [hp_X]  in 1 mL,"um, taraxacum officinale, phytolacca decandra, arsenicum album, nitricum acidum, nux vomica, petroleum, phosphoricum acidum, phosphorus, acetylsalicylicum acidum, glonoinum, insulinum (suis), lithium carbonicum, thyroidinum (suis), adrenocorticotrophin, aceticum acidum, benzoicum acidum, benzyl alcohol, boricum acidum, chlorinum, cortisone aceticum, eugenol, folliculinum, isopropyl palmitate, lacticum acidum, phenyl butazone, plumbum metallicum, potassium sorbate, resorcinum, salicylicum acidum, liquid",LITHIUM CARBONATE
